Compound,Model ID,Energy,nRot
Bolazine_ZINC000008214506,1,-8.7,3
R428_ZINC000051951669,1,-8.2,5
R428_ZINC000051951668,1,-8.0,5
Dihydroergocristine_ZINC000003947497,1,-7.8,6
Mk3207_ZINC000103760984,1,-7.8,4
Mk3207_ZINC000103760978,1,-7.7,4
Revizinone_ZINC000000538290,1,-7.6,6
Mk3207_ZINC000043203371,1,-7.5,4
Rupatadine_ZINC000000598829,1,-7.5,2
Amg-900_ZINC000043208325,1,-7.4,7
Lifarizine_ZINC000019368434,1,-7.4,6
Elomotecan_ZINC000003921664,1,-7.4,4
Telmisartan_ZINC000001530886,1,-7.4,7
Orvepitant_ZINC000056898864,1,-7.4,6
Conivaptan_ZINC000012503187,1,-7.3,4
Dihydroergocristine_ZINC000003947495,1,-7.3,6
Pranlukast_ZINC000001542146,1,-7.3,9
Mk-0893_ZINC000068250425,1,-7.3,9
Tegobuvir_ZINC000100057121,1,-7.3,6
Mln-8054_ZINC000018825334,1,-7.2,4
Proscillaridin_ZINC000118915484,1,-7.2,7
Bagrosin_ZINC000026663179,1,-7.2,1
Dihydroergotamine_ZINC000003978005,1,-7.2,5
Teniposide_ZINC000201698152,1,-7.2,9
Aprepitant_ZINC000052245742,1,-7.2,8
Efipladib_ZINC000085536943,1,-7.2,14
Dihydroergocristine_ZINC000095862766,1,-7.2,6
Liafensine_ZINC000095598450,1,-7.1,3
Velpatasvir_ZINC000504665933,1,-7.1,13
Z160_ZINC000020509316,1,-7.1,7
Mofarotene_ZINC000027558006,1,-7.1,6
Xaliproden_ZINC000000577115,1,-7.1,5
Teniposide_ZINC000245190530,1,-7.1,9
Dihydroergocristine_ZINC000003947496,1,-7.1,6
Etoposide_ZINC000100023533,1,-7.1,8
Seganserin_ZINC000000538333,1,-7.1,5
Metergotamine_ZINC000072266819,1,-7.1,5
Itriglumide_ZINC000001544617,1,-7.0,7
Aleplasinin_ZINC000013580622,1,-7.0,6
Cortisuzol_ZINC000004215464,1,-7.0,9
Ci-988_ZINC000014952320,1,-7.0,13
Tipifarnib_ZINC000028473960,1,-7.0,5
Ergotamine_ZINC000052955754,1,-7.0,5
Dirlotapide_ZINC000003988502,1,-7.0,10
Adapalene_ZINC000003784182,1,-7.0,4
Befetupitant_ZINC000028570456,1,-7.0,7
Efatutazone_ZINC000033975065,1,-7.0,8
Fuprazole_ZINC000022463197,1,-7.0,9
Tg100-801_ZINC000029136020,1,-7.0,10
Irinotecan_ZINC000001612996,1,-7.0,6
Proscillaridin_ZINC000118917544,1,-7.0,7
Ledipasvir_ZINC000150338819,1,-7.0,12
Navitoclax_ZINC000150338726,1,-7.0,17
Teniposide_ZINC000049605896,1,-7.0,9
Dihydroergocristine_ZINC000003947494,1,-7.0,6
Bms-833923_ZINC000096170449,1,-7.0,7
Vorapaxar_ZINC000003925861,1,-7.0,6
Aprepitant_ZINC000027428708,1,-7.0,8
Bagrosin_ZINC000026663185,1,-6.9,1
Fluralaner_ZINC000095598448,1,-6.9,8
Dihydroergocristine_ZINC000003995616,1,-6.9,6
Ci-988_ZINC000014952325,1,-6.9,13
Naxaprostene_ZINC000004217054,1,-6.9,7
Golvatinib_ZINC000043195317,1,-6.9,8
Paliroden_ZINC000035826853,1,-6.9,6
Velpatasvir_ZINC000504665931,1,-6.9,13
Nitroblue-tetrazolium_ZINC000008214433,1,-6.9,11
Teniposide_ZINC000049605898,1,-6.9,9
Tarazepide_ZINC000002015955,1,-6.9,3
Giripladib_ZINC000085537113,1,-6.9,15
Fiduxosin_ZINC000029747110,1,-6.9,7
Brazergoline_ZINC000004215062,1,-6.9,3
Mk-0893_ZINC000095574316,1,-6.9,9
Ibutamoren_ZINC000001543181,1,-6.9,9
Flezelastine_ZINC000001534968,1,-6.9,6
Rimacalib_ZINC000004423231,1,-6.9,4
Mosapramine_ZINC000000597691,1,-6.9,4
alpha_Ergocryptine_ZINC000059796556,1,-6.9,6
Cep-11981_ZINC000036411318,1,-6.9,4
Capmatinib_ZINC000043195321,1,-6.9,4
Laprafylline_ZINC000022463231,1,-6.9,8
Clocinizine_ZINC000022462888,1,-6.9,6
