gene	scale	analysis	subset	n	rho	p	pearson
LAMC2	as_deposited	cell_level	All cells	268131	0.3566643552395455	0.0	0.40674152649465806
LAMC2	as_deposited	cell_level	Proxy tumor epithelial cells	53192	0.5915163063215932	0.0	0.5188680097118009
LAMC2	as_deposited	cell_level	Non-proxy tumor cells	214939	0.23799644981130283	0.0	0.30769994169865
LAMC2	as_deposited	cell_level	Primary proxy tumor epithelial cells	48108	0.5848329508160223	0.0	0.5140181055545845
LAMC2	as_deposited	cell_level	Lymph node proxy tumor epithelial cells	5084	0.6355636872569055	0.0	0.5529881427511866
LAMC2	as_deposited	patient_mean	Proxy tumor epithelial cells	10	0.6848484848484848	0.02888279750673276	0.46036712182591755
LAMC2	as_deposited	patient_mean	Primary proxy tumor epithelial cells	10	0.6363636363636362	0.047911726129975435	0.41695271371652387
LAMC2	as_deposited	patient_mean	Lymph node proxy tumor epithelial cells	10	0.2121212121212121	0.5563057751029299	0.1379159358200562
ITGA5	as_deposited	cell_level	All cells	268131	0.5061577736249718	0.0	0.5369148001251693
ITGA5	as_deposited	cell_level	Proxy tumor epithelial cells	53192	0.5165394615542203	0.0	0.5882371414295655
ITGA5	as_deposited	cell_level	Non-proxy tumor cells	214939	0.5024289713039741	0.0	0.491325984582826
ITGA5	as_deposited	cell_level	Primary proxy tumor epithelial cells	48108	0.5091456599150512	0.0	0.5766220044126084
ITGA5	as_deposited	cell_level	Lymph node proxy tumor epithelial cells	5084	0.5773071108927013	0.0	0.6957898139380408
ITGA5	as_deposited	patient_mean	Proxy tumor epithelial cells	10	0.5757575757575757	0.08155281477260244	0.5882737707321221
ITGA5	as_deposited	patient_mean	Primary proxy tumor epithelial cells	10	0.5636363636363636	0.0897240283170912	0.5256029975664329
ITGA5	as_deposited	patient_mean	Lymph node proxy tumor epithelial cells	10	0.8666666666666665	0.0011735381801554685	0.7451762681552234
VIM	as_deposited	cell_level	All cells	268131	0.36709588833471646	0.0	0.4637964106135405
VIM	as_deposited	cell_level	Proxy tumor epithelial cells	53192	0.052923886058102075	2.6068538391768964e-34	0.35135361537392296
VIM	as_deposited	cell_level	Non-proxy tumor cells	214939	0.47818256189749214	0.0	0.5440276265830024
VIM	as_deposited	cell_level	Primary proxy tumor epithelial cells	48108	0.05340704490483127	9.818978449960687e-32	0.35445011576557356
VIM	as_deposited	cell_level	Lymph node proxy tumor epithelial cells	5084	-0.01811140209903223	0.19664449626482458	0.32854829940985003
VIM	as_deposited	patient_mean	Proxy tumor epithelial cells	10	0.2606060606060606	0.46708905438634024	0.3185407961860611
VIM	as_deposited	patient_mean	Primary proxy tumor epithelial cells	10	0.2606060606060606	0.46708905438634024	0.2711189421251504
VIM	as_deposited	patient_mean	Lymph node proxy tumor epithelial cells	10	0.7696969696969697	0.009221952722215994	0.805450545672691
KRT17	as_deposited	cell_level	All cells	268131	0.22722127858886484	0.0	0.2971932375848449
KRT17	as_deposited	cell_level	Proxy tumor epithelial cells	53192	0.4166487984041913	0.0	0.3957018197302796
KRT17	as_deposited	cell_level	Non-proxy tumor cells	214939	0.16422463693392517	0.0	0.19404293248671337
KRT17	as_deposited	cell_level	Primary proxy tumor epithelial cells	48108	0.4122276028399622	0.0	0.3944434715236165
KRT17	as_deposited	cell_level	Lymph node proxy tumor epithelial cells	5084	0.41452399324675343	2.3571558522507758e-210	0.4110817828805232
KRT17	as_deposited	patient_mean	Proxy tumor epithelial cells	10	0.8303030303030302	0.002940227023279509	0.39545700736102046
KRT17	as_deposited	patient_mean	Primary proxy tumor epithelial cells	10	0.8545454545454544	0.0016368033159867156	0.434465765637758
KRT17	as_deposited	patient_mean	Lymph node proxy tumor epithelial cells	10	-0.406060606060606	0.24428229408662652	-0.33847441025331687
KRT14	as_deposited	cell_level	All cells	268131	0.1549595839406997	0.0	0.3410271566175895
KRT14	as_deposited	cell_level	Proxy tumor epithelial cells	53192	0.28469758768971065	0.0	0.38533258550375726
KRT14	as_deposited	cell_level	Non-proxy tumor cells	214939	0.12760888098076517	0.0	0.296774239019846
KRT14	as_deposited	cell_level	Primary proxy tumor epithelial cells	48108	0.27706423982477973	0.0	0.37242272834819434
KRT14	as_deposited	cell_level	Lymph node proxy tumor epithelial cells	5084	0.297426483071021	2.3000449711600005e-104	0.5129202568837342
KRT14	as_deposited	patient_mean	Proxy tumor epithelial cells	10	0.2727272727272727	0.4458383415427516	0.22573410650895048
KRT14	as_deposited	patient_mean	Primary proxy tumor epithelial cells	10	0.29696969696969694	0.40470167127015705	0.2187169488276789
