comparison	gene	analysis	subset	n	pearson_r	pearson_p	spearman_rho	spearman_p	WBP5_positive_frac	LAMC2_positive_frac	double_positive_frac	ITGA5_positive_frac	VIM_positive_frac	KRT17_positive_frac	KRT14_positive_frac
WBP5_vs_LAMC2	LAMC2	cell_level	All cells	268131	0.40674152676449205	0.0	0.3566643570166183	0.0	0.28972032327481717	0.10052548940629767	0.07454192167261525				
WBP5_vs_LAMC2	LAMC2	cell_level	Proxy tumor epithelial cells	53192	0.5188680101905483	0.0	0.5915163109607978	0.0	0.39090464731538577	0.34890585050383516	0.2568619341254324				
WBP5_vs_LAMC2	LAMC2	cell_level	Non-proxy tumor cells	214939	0.3076999412043299	0.0	0.2379964521485859	0.0	0.2646797463466379	0.03905759308454957	0.029422301211041273				
WBP5_vs_LAMC2	LAMC2	cell_level	Primary proxy tumor epithelial cells	48108	0.514018105592616	0.0	0.5848329510652883	0.0	0.40548349546852913	0.35798619772179263	0.26561070923754887				
WBP5_vs_LAMC2	LAMC2	cell_level	Lymph node proxy tumor epithelial cells	5084	0.5529881460225018	0.0	0.6355636872569055	0.0	0.25295043273013373	0.26298190401258853	0.17407553107789142				
WBP5_vs_LAMC2	LAMC2	patient_mean	Proxy tumor epithelial cells	10	0.46036710967713357	0.18060850710999743	0.6848484848484848	0.02888279750673277							
WBP5_vs_LAMC2	LAMC2	patient_mean	Primary proxy tumor epithelial cells	10	0.41695273619015283	0.23062604409459603	0.6363636363636362	0.04791172612997546							
WBP5_vs_LAMC2	LAMC2	patient_mean	Lymph node proxy tumor epithelial cells	10	0.13791593511067296	0.7039821068339714	0.2121212121212121	0.5563057751029298							
WBP5_vs_ITGA5	ITGA5	cell_level	All cells	268131	0.5369148002337517	0.0	0.5061577748742055	0.0	0.28972032327481717		0.1592542451264494	0.2462714121082605			
WBP5_vs_ITGA5	ITGA5	cell_level	Proxy tumor epithelial cells	53192	0.5882371421488903	0.0	0.5165394597024706	0.0	0.39090464731538577		0.20544442773349375	0.28515566250563995			
WBP5_vs_ITGA5	ITGA5	cell_level	Non-proxy tumor cells	214939	0.49132598422808227	0.0	0.5024289733907764	0.0	0.2646797463466379		0.14782333592321542	0.23664853749203263			
WBP5_vs_ITGA5	ITGA5	cell_level	Primary proxy tumor epithelial cells	48108	0.5766220047458124	0.0	0.5091456596802378	0.0	0.40548349546852913		0.21225160056539452	0.293527064105762			
WBP5_vs_ITGA5	ITGA5	cell_level	Lymph node proxy tumor epithelial cells	5084	0.6957898168052175	0.0	0.5773071108927013	0.0	0.25295043273013373		0.14103068450039338	0.20594020456333595			
WBP5_vs_ITGA5	ITGA5	patient_mean	Proxy tumor epithelial cells	10	0.588273819642571	0.07363580206274173	0.5757575757575757	0.08155281477260247							
WBP5_vs_ITGA5	ITGA5	patient_mean	Primary proxy tumor epithelial cells	10	0.5256029699211728	0.11868771890727214	0.5636363636363636	0.0897240283170912							
WBP5_vs_ITGA5	ITGA5	patient_mean	Lymph node proxy tumor epithelial cells	10	0.7451762321180702	0.013383616541751672	0.8666666666666665	0.001173538180155469							
WBP5_vs_VIM	VIM	cell_level	All cells	268131	0.46379641057833015	0.0	0.36709588861358045	0.0	0.28972032327481717		0.24283652393792587		0.8792791583218651		
WBP5_vs_VIM	VIM	cell_level	Proxy tumor epithelial cells	53192	0.3513536156271567	0.0	0.05292388965375886	2.6068272042035635e-34	0.39090464731538577		0.2493044066776959		0.7684614227703414		
WBP5_vs_VIM	VIM	cell_level	Non-proxy tumor cells	214939	0.5440276264993439	0.0	0.478182561862307	0.0	0.2646797463466379		0.24123588553031325		0.9067037624628383		
WBP5_vs_VIM	VIM	cell_level	Primary proxy tumor epithelial cells	48108	0.35445011583094255	0.0	0.053407049359997766	9.818864931464442e-32	0.40548349546852913		0.26176519497796624		0.7710775754552257		
WBP5_vs_VIM	VIM	cell_level	Lymph node proxy tumor epithelial cells	5084	0.3285483009057142	3.006005694999517e-128	-0.01811140209903223	0.19664449626482458	0.25295043273013373		0.13139260424862312		0.743705743509048		
WBP5_vs_VIM	VIM	patient_mean	Proxy tumor epithelial cells	10	0.31854085203082005	0.369695273871998	0.2606060606060606	0.46708905438634013							
WBP5_vs_VIM	VIM	patient_mean	Primary proxy tumor epithelial cells	10	0.2711189394887882	0.4486324175053107	0.2606060606060606	0.46708905438634013							
