cell_id,WBP5,ITGA5,LAMC2,VIM,KRT14,KRT17,is_cancer,site,non_cancer_type,compartment,patient,WBP5_detected,ITGA5_detected,LAMC2_detected,VIM_detected,KRT14_detected,KRT17_detected
HN28_P15_D06_S330_comb,0,0,0.082703,10.489,0.60975,0,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
HN28_P6_G05_S173_comb,0,0,0,9.4481,0.53705,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
HN26_P14_D11_S239_comb,3.1172,0,0,0,0,4.8624,1,Lymph node,0,Cancer cells,26,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
HN26_P14_H05_S281_comb,3.206,0,0.062122,8.0888,0,0,0,Lymph node,Fibroblast,Fibroblast,26,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
HN26_P25_H09_S189_comb,0,0,4.8311,0.31846,7.3172,7.8578,1,Lymph node,0,Cancer cells,26,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
HN26_P14_H06_S282_comb,0,0,2.2576,2.0086,7.8757,9.7191,1,Lymph node,0,Cancer cells,26,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
HN25_P25_C04_S316_comb,0,3.5737,5.8375,7.4079,12.006,5.3123,1,Lymph node,0,Cancer cells,25,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
HN26_P25_A11_S107_comb,0,4.1102,0,9.9473,0,0,0,Lymph node,Fibroblast,Fibroblast,26,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
HN26_P25_C09_S129_comb,3.0133,0,0,0,0,7.8276,1,Lymph node,0,Cancer cells,26,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
HNSCC26_P24_H05_S377_comb,0,0,3.5221,4.4883,6.9292,7.6179,1,Lymph node,0,Cancer cells,26,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
