cell_id,WBP5,is_cancer,site,non_cancer_type,compartment,patient,detected
HN28_P15_D06_S330_comb,0,0,Lymph node,Fibroblast,Fibroblast,28,FALSE
HN28_P6_G05_S173_comb,0,0,Primary,Fibroblast,Fibroblast,28,FALSE
HN26_P14_D11_S239_comb,3.1172,1,Lymph node,0,Cancer cells,26,TRUE
HN26_P14_H05_S281_comb,3.206,0,Lymph node,Fibroblast,Fibroblast,26,TRUE
HN26_P25_H09_S189_comb,0,1,Lymph node,0,Cancer cells,26,FALSE
HN26_P14_H06_S282_comb,0,1,Lymph node,0,Cancer cells,26,FALSE
HN25_P25_C04_S316_comb,0,1,Lymph node,0,Cancer cells,25,FALSE
HN26_P25_A11_S107_comb,0,0,Lymph node,Fibroblast,Fibroblast,26,FALSE
HN26_P25_C09_S129_comb,3.0133,1,Lymph node,0,Cancer cells,26,TRUE
HNSCC26_P24_H05_S377_comb,0,1,Lymph node,0,Cancer cells,26,FALSE
HN25_P5_E10_S58_comb,0,0,Primary,Fibroblast,Fibroblast,25,FALSE
HN25_P24_B02_S110_comb,4.1952,1,Lymph node,0,Cancer cells,25,TRUE
HN25_P25_C01_S313_comb,0,0,Lymph node,B cell,B cell,25,FALSE
HN28_P15_G06_S366_comb,0,0,Lymph node,Fibroblast,Fibroblast,28,FALSE
HN26_P6_B06_S18_comb,0,0,Primary,Fibroblast,Fibroblast,26,FALSE
HN25_P5_C05_S29_comb,4.8071,0,Primary,Fibroblast,Fibroblast,25,TRUE
HN28_P6_D09_S141_comb,0,0,Primary,Fibroblast,Fibroblast,28,FALSE
HN26_P5_H01_S85_comb,0.28924,1,Primary,0,Cancer cells,26,TRUE
HN26_P13_D07_S139_comb,0,0,Lymph node,Fibroblast,Fibroblast,26,FALSE
HN26_P5_E06_S54_comb,0.29396,1,Primary,0,Cancer cells,26,TRUE
HN26_P26_H05_S377_comb,0,1,Lymph node,0,Cancer cells,26,FALSE
HNSCC26_P24_F12_S360_comb,4.0679,1,Lymph node,0,Cancer cells,26,TRUE
HNSCC26_P24_F03_S351_comb,3.2912,1,Lymph node,0,Cancer cells,26,TRUE
HN26_P6_D08_S44_comb,3.2823,1,Primary,0,Cancer cells,26,TRUE
HN25_P5_E12_S60_comb,0,0,Primary,Fibroblast,Fibroblast,25,FALSE
HNSCC26_P24_C01_S313_comb,2.9228,1,Lymph node,0,Cancer cells,26,TRUE
HN25_P5_F01_S61_comb,4.6485,0,Primary,Fibroblast,Fibroblast,25,TRUE
HN26_P5_D12_S48_comb,0,0,Primary,Fibroblast,Fibroblast,26,FALSE
HN25_P25_C11_S323_comb,5.5527,0,Lymph node,Fibroblast,Fibroblast,25,TRUE
HN25_P25_B12_S312_comb,4.7508,1,Lymph node,0,Cancer cells,25,TRUE
HN25_P5_E11_S59_comb,2.8223,1,Primary,0,Cancer cells,25,TRUE
HN26_P5_G11_S83_comb,6.4248,0,Primary,Fibroblast,Fibroblast,26,TRUE
HNSCC26_P12_G04_S268_comb,0,0,Lymph node,Fibroblast,Fibroblast,26,FALSE
HN25_P23_G05_S269_comb,0,0,Lymph node,Fibroblast,Fibroblast,25,FALSE
HN26_P25_E02_S146_comb,0,1,Lymph node,0,Cancer cells,26,FALSE
HN25_P25_F01_S349_comb,0,0,Lymph node,Fibroblast,Fibroblast,25,FALSE
HN26_P26_E10_S346_comb,1.3885,1,Lymph node,0,Cancer cells,26,TRUE
