ligand,n_replicates,mean_kcal_per_mol,SD,min,max,seed_42,seed_1042,seed_2042,seed_3042,seed_4042
Pazopanib_Ref,5,-6.86,0.055,-6.9,-6.8,-6.8,-6.9,-6.8,-6.9,-6.9
Candidate_4,5,-6.26,0.055,-6.3,-6.2,-6.3,-6.3,-6.2,-6.3,-6.2
Candidate_2,5,-5.84,0.089,-5.9,-5.7,-5.7,-5.8,-5.9,-5.9,-5.9
Candidate_3,5,-5.64,0.055,-5.7,-5.6,-5.7,-5.7,-5.6,-5.6,-5.6
Verteporfin,5,-5.54,0.089,-5.6,-5.4,-5.6,-5.6,-5.4,-5.5,-5.6
Dasatinib,5,-5.48,0.045,-5.5,-5.4,-5.5,-5.5,-5.5,-5.5,-5.4
Candidate_1,5,-5.44,0.055,-5.5,-5.4,-5.4,-5.4,-5.5,-5.5,-5.4
Simvastatin,5,-5.42,0.045,-5.5,-5.4,-5.5,-5.4,-5.4,-5.4,-5.4
Dobutamine,5,-5.08,0.179,-5.3,-4.9,-5.3,-5.2,-4.9,-5.1,-4.9
Candidate_5,5,-5.08,0.045,-5.1,-5.0,-5.0,-5.1,-5.1,-5.1,-5.1
