marker,cohort,n,rho_purity_adjusted,p_adjusted,q_adjusted,rho_unadjusted,p_unadjusted,q_unadjusted
Tumor purity,HNSC (all),520,,,,+0.125,0.0055,
Tumor purity,"HNSC, HPV-",421,,,,+0.111,0.027,
Tumor purity,"HNSC, HPV+",97,,,,+0.280,0.0078,
ITGA5,HNSC (all),520,+0.304,5.8e-12,2.9e-11,+0.295,6.3e-12,3.2e-11
ITGA5,"HNSC, HPV-",421,+0.311,2.2e-10,5.5e-10,+0.310,8.3e-11,2.7e-10
ITGA5,"HNSC, HPV+",97,+0.203,0.058,0.29,+0.154,0.13,0.57
LAMC2,HNSC (all),520,+0.288,7.8e-11,2e-10,+0.279,9.8e-11,2.5e-10
LAMC2,"HNSC, HPV-",421,+0.311,2.1e-10,5.5e-10,+0.308,1.1e-10,2.7e-10
LAMC2,"HNSC, HPV+",97,+0.107,0.32,0.54,+0.101,0.32,0.57
VIM,HNSC (all),520,+0.218,1.1e-06,1.8e-06,+0.184,2.3e-05,3.9e-05
VIM,"HNSC, HPV-",421,+0.236,2e-06,3.3e-06,+0.211,1.3e-05,2.1e-05
VIM,"HNSC, HPV+",97,+0.163,0.13,0.32,+0.041,0.69,0.69
KRT17,HNSC (all),520,+0.034,0.45,0.45,+0.039,0.37,0.37
KRT17,"HNSC, HPV-",421,+0.021,0.68,0.68,+0.022,0.65,0.65
KRT17,"HNSC, HPV+",97,+0.007,0.95,0.95,+0.059,0.56,0.69
KRT14,HNSC (all),520,-0.045,0.32,0.4,-0.061,0.16,0.2
KRT14,"HNSC, HPV-",421,-0.073,0.14,0.18,-0.091,0.062,0.077
KRT14,"HNSC, HPV+",97,-0.078,0.47,0.59,-0.098,0.34,0.57
